id,question,answer
2,我想去中環食創新菜，可以去邊食？,你可以去Arbor、旅、Andō、廚魔、Vea、永。
3,我想去中環食天婦羅，可以去邊食？,你可以去廣尾內津、一宝。
4,我想去中環食韓國菜，可以去邊食？,你可以去Hansik Goo。
5,我想去中環食時尚歐陸菜，可以去邊食？,你可以去Arcane、文華扒房+酒吧、Cornerstone、Neighborhood、Whey。
6,我想去中環食時尚法國菜，可以去邊食？,你可以去Amber、L'Atelier de Joël Robuchon、Zest by Konishi、Cristal Room by Anne-Sophie Pic、Ami、Clarence、Plaisance by Mauro Colagreco、Feuille、Caprice、Louise、Belon。
7,我想去中環食印度菜，可以去邊食？,你可以去New Punjab Club、Prince and the Peacock。
8,我想去中環食麵食，可以去邊食？,你可以去沾仔記、九記。
9,我想去中環食雞肉串燒，可以去邊食？,你可以去酉玉。
11,我想去中環食拉丁美洲菜，可以去邊食？,你可以去Mono。
13,我想去中環食法國菜，可以去邊食？,你可以去La Brasserie。
14,我想去中環食滬菜，可以去邊食？,你可以去嘗申滙。
15,我想去中環食德國菜，可以去邊食？,你可以去Heimat。
17,我想去中環食粥麵，可以去邊食？,你可以去正斗粥麵專家。
18,我想去中環食扒房，可以去邊食？,你可以去Beefbar。
21,我想去中環食日本菜，可以去邊食？,你可以去割烹凜、Ryota Kappou Modern、長本、Godenya。
22,我想去中環食意大利菜，可以去邊食？,你可以去Octavium、Testina、8 1/2 Otto e Mezzo - Bombana、Estro。
23,我想去中環食粵菜，可以去邊食？,你可以去陸羽茶室、廚魔名人坊、營致會館、文華廳、唐人館、星記、都爹利會館、大班樓、口利福、龍景軒。
24,我想去中環食燒味，可以去邊食？,你可以去一樂燒鵝。
25,我想去上環食雞肉串燒，可以去邊食？,你可以去Yardbird。
26,我想去上環食越南菜，可以去邊食？,你可以去Mâm Amis、Ăn Chơi。
27,我想去上環食泰國菜，可以去邊食？,你可以去泰館。
28,我想去上環食日本菜，可以去邊食？,你可以去瑞兆。
29,我想去上環食創新菜，可以去邊食？,你可以去Tate、摩。
30,我想去上環食時尚法國菜，可以去邊食？,你可以去Racines。
32,我想去灣仔食越南菜，可以去邊食？,你可以去Brass Spoon。
33,我想去灣仔食泰國菜，可以去邊食？,你可以去泰麵。
35,我想去灣仔食意大利菜，可以去邊食？,你可以去Giando、Trattoria Felino。
36,我想去灣仔食時尚歐陸菜，可以去邊食？,你可以去Auor。
37,我想去灣仔食寧波菜，可以去邊食？,你可以去甬府。
38,我想去灣仔食時尚法國菜，可以去邊食？,你可以去L'Envol。
39,我想去灣仔食滬菜，可以去邊食？,你可以去留園雅敘、蘇浙滙。
