id,question,Answers
0,你可唔可以俾個有關潮樂園 (北角)嘅解釋我？佢係間潮州菜嚟。,"位於地標性建築「大館」內，以現代設計呈現傳統元素；室内外裝潢充滿懷舊風情又不失時尚感，在此享用美食更別有一番滋味！招牌點心包括脆皮炸魚球、鹽焗雞和蝦籽炒飯等。「小龍包燒鴨卷子」外層酥香可口且帶有濃郁肉汁，是店家經典推薦之選。
          廚師團隊熟練掌握多款地道食材及烹調技巧：從早市採購的新鮮海產到本地農場自種蔬菜一應俱全，并會根據當季新鮮度調整配搭比例; 而各式各樣的小吃如煎餃仔或糯米糍也值得一試!"
1,你可唔可以俾個有關Andō嘅解釋我？佢係間創新菜嚟。,位於一幢歷史悠久的大樓內，在裝潢上盡展日籍建築家藤本壮介對傳統工藝及材料的理解與熱愛：木製桌椅、竹籃吊簾等均採自本地工匠製作；而地板上的圖案更是經手工雕鑲而成。「Ando」取義「安達荷爾蒙（Anderhormone）」之首字母，其名稱源自西班牙文中的花園之意境——既反映著主人對於自然美的追求，亦突出了用餐環境優雅清新的格調。（由於部分座位設立隔離區供應戶口受限人士享用食物或飲料，建議查詢詳情）。
2,你可唔可以俾個有關Racines嘅解釋我？佢係間法國菜嚟。,位於新世界商城地下層，在明亮開放式的空間中享受美食樂趣；牆上的藝術作品與窗外的城市景色相映成輝。「Racine's'是名副其實的地窖酒吧：室內設計簡潔而舒適，並配有大型落地玻璃窗戶可俯瞰維港美景; 裝飾陳列著來自世界各地的手工葡萄酒瓶以及各式各樣令人垂涎欲滴的新鮮果釡。侍應團隊熟練掌握各種優質佳酿知識，并能根據客人口味推薦合宜搭配的食物選擇。
3,你可唔可以俾個有關Sushi Wadatsumi嘅解釋我？佢係間壽司嚟。,位於一幢歷史悠久的大樓裏面，在充滿懷舊風情的地庫中設有座位區供客人享用餐飲服務。「志」意為「心靈之食糧」「神聖的食物」等涵義豐富的概念均反映著店主對食物與生活的態度：從不放棄傳統手工藝技以及優質食材上講起，並致力推展本地文化藝術發展。
4,你可唔可以俾個有關L'Atelier de Joël Robuchon嘅解釋我？佢係間法國菜嚟。,位於維港畔的一座歷史建築裏面，在室内的牆壁裝飾著由著名藝術家設計的作品；而從窗戶望出去則可欣賞到美麗的日落景色以及遊艇穿梭河上的風光。「L’atelier des Cuisiniers du Monde (世界大厨)」是此地最著名的招牌套餐之一：除了能享用五位經驗豐富的大廚共同製作的世界級美食之外（其中三位更曾獲邀參加奧斯卡金像獎頰邊人晚宴），還會安排客人一同參與料理過程！
5,你可唔可以俾個有關浙江軒嘅解釋我？佢係間浙江菜嚟。,由著名廚師陳建宏主理，以傳統烹調技巧和地道食材為客人帶來正宗浙味美食體驗。「小炒肉」、「紅燒魚頭」「清湯雞絲麵條」等招牌菜肴均值得一試；此外還有各式點心供應及多款茶品可供選擇。（部分座位有限）
6,你可唔可以俾個有關悅嘅解釋我？佢係間粵菜嚟。,位於地標性建築「金鐘」旁邊，在高樓林立的城市中心設有別具氣派的大堂與包廄；同時也備有多個露天座位區以滿足不同客人的需求。「悅'意園邸」採現代中式風格設計：牆身佈滿絢麗刺绣圖案以及中國風吊灯配搭古董家具相映成趣;餐室則充滿自然元素並大量使用木材作材 料，既溫暖又優雅宜人！午市套餐價廉物美且多樣豐富，晚膳更可享受由經驗老道的手藝師團隊精心製作的新手續服務體驗——從品嘗開胃湯開始至甜品結局，每一道都令人回味無窮!
7,你可唔可以俾個有關廚魔名人坊嘅解釋我？佢係間粵菜嚟。,店舖自二零一二年起遷至現址後，在空間佈置上下足功夫：從天花吊燈到牆身裝潢都經過重新改版更新，並新增多個用餐區位供客人享用美食。「老闆」兼主厨曾為知名米芝蓮三星大館行政總監，擅烹調經典粤味小吃以及海陸珍禽獸肉料理，其中脆撈麵深受歡迎;他更會根據當季農產推出應節令的新品種。
8,你可唔可以俾個有關麥文記嘅解釋我？佢係間麵食嚟。,創辦人曾為日本籍移民，在當地生活多年後回港創業並成立品牌。「麥」代表「米飯」「文」取意中文名字中的第二位字母W（即V），寓意將傳統粵式小籠包與地道日料結合起來呈現給客人享用。餐室以木板貼牆設計出自然風格，加上柔和燈飾襞映著窗外綠樹成陰的地景畫作，令用餐環境格外寧靜優雅。
9,你可唔可以俾個有關紅磡雞蛋仔嘅解釋我？佢係間街頭小吃嚟。,店舖位於地標建築「金鐘」旁邊，在繁忙路線附近經營多年仍生意興隆；其以鮮奶油製成的小吃更是人氣爆棚：除了經典芝士蛋糕外（分小盤和中型），亦有供應草莓奶酪杯與抹茶拿鐵慕斯球！
