id,question,example_1,example_2,answer
0,"請你提供這個在於香港西營盤的餐廳的描述: 巴依, 這是一間新疆菜餐廳。",,,開業多年，標誌性的巨型絲路圖始終佔據着店中央的顯眼位置。同是新疆人的廚師團隊與店主合作無間，一直堅守着同一使命：為客人提供地道而優質、價錢相宜的正宗新疆菜，當中不乏羊肉特色菜，如手抓肉、羊肉串燒和足夠二人享用、需預訂的烤羊腿等。此外，大盤雞和酸奶也值得一試，店主更不時加入新菜式。
1,"請你提供這個在於香港太子的餐廳的描述: 聚興家, 這是一間粵菜餐廳。",Restaurant 1: 新同樂 // Description: 廚師團隊經驗豐富，加上選材嚴謹、用料新鮮，俘獲一眾食客的味蕾。除了經典招牌菜百花脆皮乳豬件，鮮蘑菇焗釀蟹蓋、燒汁乾煏牛肋骨也值得一試。提供多款套餐，當中包括以進口食材糅合獨特創意的廚師推介美食。部分菜餚可按人數調整分量，靈活貼心。點心菜單恆常更換，新鮮感十足。,Restaurant 2: 夏宮 // Description: 以北京故宮為設計靈感：大紅色餐椅配搭中式屏風，並飾以絲綢畫作、雕塑和水晶吊燈，營造出宮廷氣派。菜單包羅傳統廣東名菜，出品水準穩定，招牌菜包括沙薑豬腳仔、蠔皇吉品鮑魚、脆皮炸子雞、各式燉湯等，部分須提早預訂。除了經典菜式，季節菜單和午市供應的點心也深受食客喜愛，午市經常一席難求。,此店為許多影視名人和酒店大廚的飯堂，即使曾經擴充，仍然經常客滿，請務必訂座。翻開餐牌，可以看到各式各樣的廣東小炒，還有為嗜辣客人而設的精選川菜。推薦用新鮮文昌雞炮製的鹽焗雞，肉嫩皮爽，鹹香惹味，為免撲空，建議於訂座時預留。同時供應多款生猛海鮮，豉汁蒸白鱔、豉油皇大蝦、焗奄仔蟹等應有盡有。
2,"請你提供這個在於香港灣仔的餐廳的描述: Giando, 這是一間意大利菜餐廳。",Restaurant 1: Involtini // Description: 裝潢簡約優雅，建議選擇開放式廚房旁的座位，欣賞烹調過程。選用意大利原材料、每天新鮮製作的意粉一直是店內招牌，廚師於前一晚製作麵糰，讓其休息一晚後才製成麵條，口感特佳，意粉款式更會不時更替。推薦紅蝦意大利幼麵，濃郁的醬汁掛在彈牙的麵條上，配搭鮮甜的原隻加勒比海紅蝦，叫人回味。,Restaurant 2: Testina // Description: 水磨石地板、橄欖綠色傢具，加上芥末黃色牆壁，裝潢洋溢七十年代米蘭的格調。餐廳與意大利食府Trippa Milano合作，依其食譜烹調經典的北意美食。菜單包含以豬頭肉、牛肚等食材炮製的菜式，體現「從頭吃到尾」的烹飪理念。推薦鴨肉醬闊條麵，其味道濃郁，不容錯過。愛嘗新的不妨留意隔天更新的特別菜單。,意籍廚師Gianni Caprioli名下餐廳眾多，此店可視為其珍寶，自有其因由。位處鬧市中的寧謐一隅，別有洞天，室內設計精巧富心思；戶外座位氣氛輕鬆，適合用餐或淺酌。菜單中網羅意大利各地區的特色風味菜式，推薦招牌自製捲意粉及米蘭式小牛扒。酒單由身兼侍酒師的釀酒師設計，包羅多樣的意國佳釀，不妨細酌一番。
3,"請你提供這個在於香港灣仔的餐廳的描述: 泰麵, 這是一間泰國菜餐廳。",Restaurant 1: Saya // Description: 裝潢採用湖水綠色背景，配搭藤製傢具和壁畫，帶有泰國風情。泰籍廚師團隊為客人帶來依善地區的傳統泰菜，例如泰北咖喱金麵、炭火鹽燒魚等。前者在咖喱中加入椰漿，配合炭烤雞肉，非常惹味。後者將全魚以鹽包覆，配搭香茅和斑蘭燒製，佐以生菜、米粉和秘製醬汁享用，風味十足。午市套餐經濟實惠。,Restaurant 2: 泰館 // Description: 和泰麵隸屬同一老闆，共享同一英文店名，連裝潢風格也十分統一：懷舊海報、木製桌椅、從天花懸垂下來的綠色植物，充滿泰國風情。但這裏的菜單更加豐富，其中泰北咖喱使用十一種香料，每天經八小時烹調而成，配以雞蛋製作的麵條，香濃可口。甜品如街頭椰子雪糕、芒果糯米飯也十分出色。餐廳僅接受八人或以上的訂座。,位於地標藍屋旁邊，餐室以舊傢具、古老小販檔陳設、泰式鐵標牌裝飾，充滿懷舊泰式風情。熱愛泰菜的主廚望透過街頭小吃呈現泰國風味。逾半食材每天由當地直送到店。招牌船麵不容錯過，湯底於早上開始製作，經六小時熬製，滋味濃郁。愛甜品的不妨一嘗泰式椰子雪糕。店外人龍不斷，繁忙時段宜提早前往。
4,"請你提供這個在於香港上環的餐廳的描述: 泰館, 這是一間泰國菜餐廳。",Restaurant 1: Saya // Description: 裝潢採用湖水綠色背景，配搭藤製傢具和壁畫，帶有泰國風情。泰籍廚師團隊為客人帶來依善地區的傳統泰菜，例如泰北咖喱金麵、炭火鹽燒魚等。前者在咖喱中加入椰漿，配合炭烤雞肉，非常惹味。後者將全魚以鹽包覆，配搭香茅和斑蘭燒製，佐以生菜、米粉和秘製醬汁享用，風味十足。午市套餐經濟實惠。,Restaurant 2: 泰麵 // Description: 位於地標藍屋旁邊，餐室以舊傢具、古老小販檔陳設、泰式鐵標牌裝飾，充滿懷舊泰式風情。熱愛泰菜的主廚望透過街頭小吃呈現泰國風味。逾半食材每天由當地直送到店。招牌船麵不容錯過，湯底於早上開始製作，經六小時熬製，滋味濃郁。愛甜品的不妨一嘗泰式椰子雪糕。店外人龍不斷，繁忙時段宜提早前往。,和泰麵隸屬同一老闆，共享同一英文店名，連裝潢風格也十分統一：懷舊海報、木製桌椅、從天花懸垂下來的綠色植物，充滿泰國風情。但這裏的菜單更加豐富，其中泰北咖喱使用十一種香料，每天經八小時烹調而成，配以雞蛋製作的麵條，香濃可口。甜品如街頭椰子雪糕、芒果糯米飯也十分出色。餐廳僅接受八人或以上的訂座。
5,"請你提供這個在於香港屯門的餐廳的描述: 容龍, 這是一間海鮮餐廳。",Restaurant 1: 避風塘興記 // Description: 歷經三代，原址在銅鑼灣，其後才遷到尖沙咀現址，這家由祖父輩創辦的餐廳一直以避風塘特色小菜為賣點。廚房由弟弟掌舵，大家姐則負責領導服務團隊。海鮮每天新鮮進貨，供應有限，不妨於訂座時預留，招牌菜包括避風塘炒蟹、燒鴨湯河及艇仔粥，前者更可選擇不同辣度。座位不多，食客須到齊方能入座。,Restaurant 2: 六福菜館 // Description: 菜館藏身於西貢海鮮餐廳一帶的後街，佔地三層，門口未見一般海鮮餐館常設的大魚缸，僅以出色的烹調技巧吸引食客。以生猛海鮮炮製的小菜選料上乘，每一口都散發着鮮味。金湯魚蓉羹、椒鹽瀨尿蝦和鹽水蒸西貢魚仔是必吃菜式，傳統粵式小菜如椒鹽奇脆豆腐也值得一試。惟部分海鮮需預留，建議提早查詢。,容龍在本區可謂赫赫有名，裝修後換上更時尚的佈置，新增更多私人廂房，滿足注重私人空間的食客，其中兩間更坐擁海畔美景。為數不少的客人會自攜海鮮加工，個別更不看主菜牌，直接從海鮮單上挑選食物。招牌菜包括芝士焗開邊龍蝦與砵酒焗生蠔；日間則有點心供應。
6,"請你提供這個在於香港中環的餐廳的描述: 廚魔, 這是一間創新菜餐廳。",Restaurant 1: Mosu // Description: 餐室設計簡約，以灰色水泥牆面配合星光般的燈飾，落地玻璃外則是維港美景，氣氛柔和寧靜。廚師團隊以南韓人為主，主廚擁有多年法國菜經驗，曾效力於日本多間高級餐廳。多元的文化特色，加上從世界各地搜羅的食材，結合成充滿創意的菜式。菜單以套餐為主，並會不定期更新。,Restaurant 2: 旅 // Description: 日籍大廚佐藤秀明將「純粹、簡約、時令」奉為其烹調信條，同時樂於嘗試不同的烹調技巧及食材配搭。其創作糅合了法式烹調手法和來自日本的時令頂級食材，菜式的質感和味道皆別樹一幟，滋味非凡。從每天新鮮製作的發酵奶油及酸種麵包，以至配搭的亞洲餐酒及日本清酒，處處精彩，叫人回味難忘。,由灣仔移師中環後，空間變得更寬敞舒適。除了引人注目的開放式廚房，餐室不同角落也以藝術品點綴，全都由主廚老闆精心挑選，充分展示香港文化元素，作為獻給這座城市的讚歌。和以往一樣，只提供套餐，菜式極具創意和特色，不但融合中式元素，設計更帶有藝術感，處處顯露主廚的心思。
7,"請你提供這個在於香港中環的餐廳的描述: 酉玉, 這是一間雞肉串燒餐廳。",,,為了確保肉質鮮嫩，餐廳選用只有四十天大的雞隻，由日籍主廚製作成超過二十八種不同部位的串燒，當中包括雞胸腺等需預訂的特別部位，每一串都烤得恰到好處。廚師更會因應客人的進食速度預備食物，並親自送到面前。除了雞肉串，不同季節也會提供相應漬物，值得一試。但座位不多，建議訂座。
8,"請你提供這個在於香港上環的餐廳的描述: 瑞兆, 這是一間日本菜餐廳。",Restaurant 1: 割烹凜 // Description: 由銀座名店吉武壽司與本地的志魂聯手創立，呈現輕鬆而獨特的割烹料理體驗。日籍主廚來自仙台，擅於以獨特的調味配合優質食材，表達濃厚的味道。他透過每季節變更的廚師發辦套餐，展示對日本海陸產物的珍視，不論生食或熟食，均突顯材料的自然風味。不妨配搭日本清酒佐餐。惟座位有限，建議提早訂座。,Restaurant 2: 長本 // Description: 告別柏屋後，大廚長本先生在原址另闢新店，並以全新面貌迎接客人：主餐室的吧檯由深棕色樹幹製成，安坐於此可以欣賞到主廚在席前準備菜餚。供應單一菜單，以最鮮美的當季食材製成懷石料理，從頭盤到甜品，處處顯露主廚對食材的透徹了解。服務員更會於席間介紹菜式由來和相關日本風俗，十分有趣。,主廚曾於銀座工作，與當地漁販關係良好，優質食材每天由日本直送到港。午市提供嘗味套餐及廚師發辦套餐，晚市則只供應一款廚師發辦套餐。來自鹿兒島薩摩的牛腰脊肉味香濃，是店裏的招牌菜。同樣值得一試的還有薩摩和牛配慢煮蛋黃，蛋香濃郁，牛肉入口即化。可向服務員查詢清酒配搭。需提早訂座。
9,"請你提供這個在於香港元朗的餐廳的描述: 天鴻燒鵝, 這是一間燒味餐廳。",Restaurant 1: 一樂燒鵝 (中環) // Description: 早於1957年開業，鎮店招牌脆皮燒鵝油光亮澤，乃根據老闆朱先生的家族秘方醃製，在自設工場經二十多道工序燒烤，色香味俱佳。每次只出爐十隻，因此得靠點運氣才可嘗到特定部位。一人獨享的話，建議點選四分一隻燒鵝，配搭鵝油清湯瀨粉。其他燒味均以炭爐燒烤，不要錯過化皮燒腩仔和蜜汁叉燒。,Restaurant 2: 甘牌燒鵝 // Description: 祖父輩創業至今逾七十年，店舖深受食客喜愛，門前常見人龍。櫥窗前掛滿色澤油亮的傳統廣式燒味，以家傳秘方炮製的甘氏燒鵝為鎮店之寶。此外，燒乳豬、鵝掌、鵝肝等滷水食品和入口即化的鵝紅亦不容錯過；佐以鵝油製作的太子撈麵香氣四溢，教人欲罷不能。菜式琳瑯滿目，如果想多嘗幾款，建議偕親友共往。,餐廳於2001年開業，憑着味美的燒味和合理價格深受街坊愛戴。招牌燒鵝採用每天由佛山養殖場直送到店的黑棕鵝，分批即醃即燒，確保新鮮，高峰期每日售出近百隻。此外，蜜汁叉燒、燒鴨、花雕醉雞和滷水等亦值得一試；店家更出售自製的清熱五花茶。堂食座位有限，燒味售罄更會提早關門，宜提早前往。
