question,answer
我想去中環食拉麵，可以去邊食？,你可以去麵鮮醬油房周月。
我想去中環食創新菜，可以去邊食？,你可以去Arbor、旅、Andō、廚魔、Vea、永。
我想去中環食天婦羅，可以去邊食？,你可以去廣尾內津、一宝。
我想去中環食韓國菜，可以去邊食？,你可以去Hansik Goo。
我想去中環食時尚歐陸菜，可以去邊食？,你可以去Arcane、文華扒房+酒吧、Cornerstone、Neighborhood、Whey。
我想去中環食時尚法國菜，可以去邊食？,你可以去Amber、L'Atelier de Joël Robuchon、Zest by Konishi、Cristal Room by Anne-Sophie Pic、Ami、Clarence、Plaisance by Mauro Colagreco、Feuille、Caprice、Louise、Belon。
我想去中環食印度菜，可以去邊食？,你可以去New Punjab Club、Prince and the Peacock。
我想去中環食麵食，可以去邊食？,你可以去沾仔記、九記。
我想去中環食雞肉串燒，可以去邊食？,你可以去酉玉。
我想去中環食越南菜，可以去邊食？,你可以去Sếp。
我想去中環食拉丁美洲菜，可以去邊食？,你可以去Mono。
我想去中環食壽司，可以去邊食？,你可以去志魂、鮨．齋藤。
我想去中環食法國菜，可以去邊食？,你可以去La Brasserie。
我想去中環食滬菜，可以去邊食？,你可以去嘗申滙。
我想去中環食德國菜，可以去邊食？,你可以去Heimat。
我想去中環食美國意大利菜，可以去邊食？,你可以去Carbone。
我想去中環食粥麵，可以去邊食？,你可以去正斗粥麵專家。
我想去中環食扒房，可以去邊食？,你可以去Beefbar。
我想去中環食時尚意大利菜，可以去邊食？,你可以去Noi by Paulo Airaudo。
我想去中環食餃子，可以去邊食？,你可以去王府。
我想去中環食日本菜，可以去邊食？,你可以去割烹凜、Ryota Kappou Modern、長本、Godenya。
我想去中環食意大利菜，可以去邊食？,你可以去Octavium、Testina、8 1/2 Otto e Mezzo - Bombana、Estro。
我想去中環食粵菜，可以去邊食？,你可以去陸羽茶室、廚魔名人坊、營致會館、文華廳、唐人館、星記、都爹利會館、大班樓、口利福、龍景軒。
我想去中環食燒味，可以去邊食？,你可以去一樂燒鵝。
我想去上環食雞肉串燒，可以去邊食？,你可以去Yardbird。
